pet_id,shelter_id,name,species,breed,sex,color,estimated_birth_date,intake_date,status,is_sterilized,special_needs
1,1,Luna,Dog,Labrador,Male,Brown,2021-03-22 12:58,2025-04-27 21:49,available,1,
2,1,Milo,Bird,Parakeet,Male,Black,2021-11-13 21:18,2025-07-17 06:06,adopted,1,Behavioral training
3,1,Bella,Cat,Bengal,Female,Golden,2023-02-09 14:12,2025-05-06 23:30,adopted,1,Special diet
4,1,Charlie,Cat,Maine Coon,Female,Black,2023-02-01 08:07,2025-05-24 08:57,available,0,
5,3,Daisy,Bird,Lovebird,Female,Black,2021-06-28 09:38,2025-10-18 12:01,available,1,Special diet
6,1,Max,Dog,Labrador,Male,White,2022-11-19 22:36,2025-09-05 02:34,adopted,1,Behavioral training
7,3,Lucy,Rabbit,Dutch,Female,Brown,2021-03-08 07:59,2025-05-06 11:54,medical_hold,1,Special diet
8,3,Cooper,Cat,Siamese,Male,Gray,2023-03-13 09:35,2025-05-14 02:59,adopted,0,Special diet
9,1,Chloe,Dog,Poodle,Female,Gray,2023-10-28 19:03,2025-05-27 03:32,medical_hold,1,Behavioral training
10,3,Lily,Bird,Parakeet,Female,Brown,2021-09-26 13:22,2025-06-28 16:05,available,1,Behavioral training
11,1,Oliver,Rabbit,Dutch,Male,White,2024-02-27 17:09,2025-04-30 08:56,available,1,Behavioral training
12,3,Sadie,Dog,Bulldog,Male,Gray,2021-03-14 20:00,2025-06-13 16:07,available,0,Medication
13,2,Rocky,Rabbit,Dutch,Male,Brown,2023-07-16 05:20,2025-12-28 00:53,available,1,Special diet
14,1,Zoe,Dog,Poodle,Male,Golden,2021-12-28 17:44,2025-05-23 13:34,adopted,1,
15,2,Teddy,Rabbit,Lionhead,Male,Black,2024-09-09 15:04,2025-04-19 14:10,adopted,0,
16,3,Molly,Dog,Bulldog,Female,Black,2021-12-07 17:59,2025-06-22 01:40,available,1,Medication
17,2,Duke,Bird,Parakeet,Female,Golden,2022-07-23 01:42,2025-05-06 07:59,available,0,Behavioral training
18,1,Nala,Dog,German Shepherd,Male,White,2021-09-18 17:15,2025-04-16 00:07,reserved,0,
19,2,Oscar,Dog,Labrador,Male,White,2022-02-18 22:28,2025-08-14 21:48,available,1,Medication
20,1,Bailey,Bird,Parakeet,Female,Golden,2022-09-25 09:39,2025-07-22 14:08,available,0,
