record_id,pet_id,visit_date,record_type,diagnosis,treatment,vet_name,notes
1,5,2026-01-14 19:39,Check-up,Routine check,Medication,Dr. Smith,Good condition
2,5,2025-12-08 21:08,Treatment,Healthy,Surgery,Dr. Brown,Follow up needed
3,7,2025-12-04 19:21,Surgery,Cold,,Dr. Williams,Good condition
4,9,2025-05-27 15:05,Treatment,Healthy,Medication,Dr. Williams,Recovering well
5,3,2025-05-06 08:08,Check-up,Minor injury,Rest,Dr. Smith,Recovering well
6,8,2025-06-19 17:41,Check-up,Healthy,Rest,Dr. Brown,Follow up needed
7,12,2025-07-10 05:25,Check-up,Minor injury,Surgery,Dr. Smith,Regular checkup
8,10,2026-02-04 06:56,Check-up,Routine check,Rest,Dr. Smith,Recovering well
9,4,2025-09-17 02:19,Check-up,Healthy,Surgery,Dr. Brown,Follow up needed
10,3,2025-12-31 03:35,Surgery,Healthy,,Dr. Brown,Regular checkup
11,14,2025-10-18 14:34,Check-up,Minor injury,,Dr. Johnson,Follow up needed
12,20,2026-01-16 09:57,Check-up,Routine check,,Dr. Williams,Follow up needed
13,8,2025-05-30 17:13,Surgery,Routine check,Rest,Dr. Brown,Good condition
14,11,2025-04-30 05:51,Treatment,Cold,Rest,Dr. Brown,Recovering well
15,12,2025-08-26 22:58,Surgery,Cold,Surgery,Dr. Smith,Recovering well
16,3,2025-08-17 21:25,Check-up,Routine check,Rest,Dr. Brown,Good condition
17,15,2025-04-24 08:42,Check-up,Cold,Rest,Dr. Brown,Recovering well
18,10,2026-02-07 18:14,Surgery,Routine check,Surgery,Dr. Brown,Follow up needed
19,12,2025-12-04 21:47,Surgery,Cold,Surgery,Dr. Johnson,Regular checkup
20,7,2025-09-24 04:47,Check-up,Minor injury,Rest,Dr. Johnson,Good condition
21,9,2026-01-09 18:04,Surgery,Healthy,Rest,Dr. Williams,Recovering well
22,12,2025-07-16 21:30,Surgery,Healthy,Rest,Dr. Williams,Regular checkup
23,2,2026-01-24 23:01,Surgery,Minor injury,,Dr. Smith,Regular checkup
24,19,2025-09-08 13:22,Check-up,Routine check,,Dr. Williams,Recovering well
25,2,2025-08-23 12:11,Treatment,Healthy,Medication,Dr. Brown,Good condition
